movie_id,title,overview,vote_average,poster_path,genres,director,actors,vader_sentiment
1564614,Leviticus,Two teenage boys must escape a violent entity that takes the form of the person they desire most — each other.,7.04,/cu0XnXLzJGPeI0msCoJKgnEecKz.jpg,Horror|Romance,Adrian Chiarella,Joe Bird|Stacy Clausen|Mia Wasikowska|Nicholas Hope|Tyallah Bullock,-0.128
1304313,Lee Cronin's The Mummy,"The young daughter of a journalist disappears into the desert without a trace—eight years later, the broken family is shocked when she is returned to them, as what should be a joyful reunion turns into a living nightmare.",8.023,/1q308iixueCU4pFtSYugNOevtNx.jpg,Horror|Mystery,Lee Cronin,Jack Reynor|Laia Costa|May Calamawy|Natalie Grace|Shylo Molina,-0.4404
880067,Strung,"A talented violinist's prestigious new role as a music tutor for an enigmatic, elite family spirals into a psychological battle for her safety and sanity.",7.689,/lWdpUOhnJ8uWWO1G1vbyUsCliov.jpg,Mystery|Thriller,Malcolm D. Lee,Chlöe Bailey|Lynn Whitfield|Lucien Laviscount|Anna Diop|Romy Woods,0.5423
1382832,Hungry,A group of holidaymakers must fight for their lives against a rampaging hippo on the loose after becoming lost in the Louisiana swamplands.,6.927,/kHbUXJhXYV7UGiStIgCyplWsYKd.jpg,Thriller|Horror,James Nunn,Madison Davenport|Tracey Bonner|Joaquim de Almeida|Michel Curiel|Samantha Coughlan,-0.7351
1317288,Marty Supreme,"Marty Mauser, a young man with a dream no one respects, goes to hell and back in pursuit of greatness.",7.4,/lYWEXbQgRTR4ZQleSXAgRbxAjvq.jpg,Drama|Thriller,Josh Safdie,"Timothée Chalamet|Gwyneth Paltrow|Odessa A'zion|Kevin O'Leary|Tyler, The Creator",-0.5423
1242265,Fuze,An unexploded WWII bomb is discovered on a busy construction site in the centre of London. Chaos ensues as the military and police begin a mass evacuation against a ticking clock.,6.45,/oMFdQE5hMJ9JjhNORegwTo0GKmh.jpg,Action|Crime|Drama|Thriller,David Mackenzie,Aaron Taylor-Johnson|Theo James|Gugu Mbatha-Raw|Elham Ehsas|Sam Worthington,-0.7845
980431,Avatar Aang: The Last Airbender,"Avatar Aang, the world's last Airbender, learns of an ancient power that could save his culture from extinction. With the help of his friends, he embarks on a global quest to find it before it falls into the wrong hands and threatens to upend the peace they sacrificed everything to achieve.",0.0,/29Jdsak3SrwGds5k1t43kH6Khed.jpg,Animation|Action|Adventure|Fantasy,Lauren Montgomery,Eric Nam|Dave Bautista|Jessica Matten|Román Zaragoza|Steven Yeun,0.7783
1339588,Finding Emily,"When a lovesick musician is given the wrong number for his dream girl, he teams up with a driven psychology student to find her. Together, they spark a hilarious campus-wide frenzy that tests their own hearts and ambitions along the way.",6.7,/bfEQ6C702oPsN4kzIiY7n4JsrxF.jpg,Romance|Comedy,Alicia MacDonald,Spike Fearn|Angourie Rice|Cora Kirk|Prasanna Puwanarajah|Sadie Soverall,0.128
1284016,Power Ballad,"When Rick, a past-his-prime wedding singer, meets fading boy-band star Danny during a gig, the two bond over music and a late-night jam session. But when Danny turns one of Rick’s songs into the hit that reignites his career, Rick sets out to reclaim the recognition he believes he deserves - even if it means risking everything he cares about.",7.1,/sGgX2K0SJqw90Ju8TONdhDVwlzT.jpg,Comedy|Music|Drama,John Carney,Paul Rudd|Nick Jonas|Peter McDonald|Rory Keenan|Paul Reid,0.2617
1515729,Blast,A seemingly ordinary family must unleash their hidden martial arts skills when they clash with a ruthless criminal gang tied to corruption and violence.,6.9,/mZZBUaAXSeEeO3RovqJssBQyxfK.jpg,Action|Thriller,Subash K Raj,Arjun Sarja|Abhirami|Preity Mukhundhan|Vivek Prasanna|John Kokken,-0.8176
1245859,Savage House,"Against the backdrop of 18th century England, a massive pox outbreak, and Jacobite uprising – Sir Chauncey Savage and Lady Savage blindly pursue a better life. It's not without a tinge of irony that their family name is the Savages, for this is a Savage House indeed, filled with duels, decadence, and bloodshed.",6.731,/vPBy6cDPYMcj35lpl3W5kPEc2OB.jpg,Drama|Comedy,Peter Glanz,Richard E. Grant|Claire Foy|Jack Farthing|Bel Powley|Kíla Lord Cassidy,-0.8538
1198994,Send Help,"Two colleagues become stranded on a deserted island, the only survivors of a plane crash. On the island, they must overcome past grievances and work together to survive, but ultimately, it's a battle of wills and wits to make it out alive.",7.048,/zbJWVHOtj3ljBzWgL1P8pxP03Up.jpg,Horror|Thriller|Comedy,Sam Raimi,Rachel McAdams|Dylan O'Brien|Edyll Ismail|Dennis Haysbert|Xavier Samuel,-0.3818
1159559,Scream 7,"When a new Ghostface killer emerges in the quiet town where Sidney Prescott has built a new life, her darkest fears are realized as her daughter becomes the next target. Determined to protect her family, Sidney must face the horrors of her past to put an end to the bloodshed once and for all.",6.193,/jjyuk0edLiW8vOSnlfwWCCLpbh5.jpg,Horror|Mystery|Crime,Kevin Williamson,Neve Campbell|Courteney Cox|Isabel May|Jasmin Savoy Brown|Mason Gooding,-0.875
1122030,Alpha,"When Sita, a highly trained assassin raised in isolation as a super-soldier by a rogue commander, discovers the dark truth about her family and her stolen childhood, she teams up with her long lost sister to take down her creator and his illicit military program.",5.5,/bPtRt3ajQ0EkyeQ1O6iJwAIi9Py.jpg,Action|Thriller,Shiv Rawail,Alia Bhatt|Sharvari|Bobby Deol|Anil Kapoor|Dibyendu Bhattacharya,-0.7096
1227877,I Love Boosters,A group of shoplifters take aim at a cutthroat fashion maven by stealing from her stores and reselling them at a lower price — what they call 'fashion-forward philanthropy'.,5.968,/4pNKIUFy7tkZiBx0rnSmG9ysRy.jpg,Comedy|Science Fiction|Crime,Boots Riley,Keke Palmer|Naomi Ackie|Taylour Paige|Poppy Liu|Eiza González,-0.7096
1329471,Carolina Caroline,"A young woman, desperate to leave her small town, runs away with a charming con man, embarking on a crime and passion-filled journey through the Southeast to find her estranged mother.",7.0,/9waKPyT5JWv9EWTf79j25yT6Bu4.jpg,Crime|Drama|Romance,Adam Rehmeier,Samara Weaving|Kyle Gallner|Kyra Sedgwick|Jon Gries|Tommy G. Kendrick,-0.296
1127384,Deep Water,A group of international passengers on a flight from Los Angeles to Shanghai is forced to make an emergency landing in shark-infested waters. The terrified group is forced to work together and overcome their differences if they hope to escape their sinking plane and the frenzy of sharks drawn to the wreckage.,6.013,/kjcuS7xaRyqRjVaVcH4t0qHshuX.jpg,Horror|Thriller,Renny Harlin,Aaron Eckhart|Ben Kingsley|Molly Belle Wright|Angus Sampson|Elijah Tamati,-0.8834
604079,The Long Walk,"In a dystopian 1970s America, fifty teenage boys take part in a deadly annual walking contest, forced to maintain a minimum pace or be executed, until only one survivor remains.",6.896,/wobVTa99eW0ht6c1rNNzLkazPtR.jpg,Science Fiction|Thriller|Horror,Francis Lawrence,Cooper Hoffman|David Jonsson|Ben Wang|Tut Nyuot|Charlie Plummer,-0.128
1061474,Superman,"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",7.337,/ldyfo0BKmz5rWtJJKCvwaNS4cJT.jpg,Science Fiction|Adventure|Action,James Gunn,David Corenswet|Rachel Brosnahan|Nicholas Hoult|Edi Gathegi|Nathan Fillion,0.0
1451344,Husbands in Action,A detective teams up with his ex-wife's new husband to chase down her kidnappers. Can this unlikely duo put aside their differences for one wild rescue?,7.561,/rdmXkKPjGw43u4wp3aod4aIPiH.jpg,Comedy|Action,Park Gyu-tae,Jin Sun-kyu|Gong Myoung|Kim Ji-seok|Yoon Kyung-ho|Kang Han-na,0.5106
1628071,Ip Man: Kung Fu Legend,"In 1950s Hong Kong, British merchants and Chinese triads have joined forces to expand their territory, forcibly demolishing factories without regard for public welfare. This move draws fierce opposition from Ip Man, standing up for the workers, he faces pressure from all sides. Framed for murder, he is sent to prison. Within the prison walls, the triads set multiple deadly traps. Can Ip Man overcome these trials, escape the danger, and clear his name?",0.0,/m3Low6jJrKXHSYFpXNkmYsG1Q6I.jpg,Action,Li Liming,Philip Condron|Dennis To Yu-Hang|Steven Dasz|Lee Yiu-King|Yan Yanlong,-0.9062
1439930,The Punisher: One Last Kill,"As Frank Castle searches for meaning beyond revenge, an unexpected force pulls him back into the fight.",8.347,/qQclTgLMDvGBuUBFGHRipxkEwWR.jpg,Action|Drama|Crime,Reinaldo Marcus Green,Jon Bernthal|Deborah Ann Woll|Jason R. Moore|Judith Light|Kelli Barrett,-0.7184
1700944,"Love, Ngo","“Love, Ngo” follows Ngongo, a hardworking young man who volunteers at a cleft lip and palate foundation while helping at his mother’s burger stand. The film explores his struggles with love, family and self-acceptance after falling for a woman whose family disapproves of his condition and social status.",9.0,/qA7FX4vp2qWfkMd2R3JrbGP6vbu.jpg,Comedy,Darryl Yap,Jerald Napoles|Gina Alajar|Louise delos Reyes|Candy Pangilinan|Malupiton,0.5106
1493123,Killhouse,"After an American journalist is abducted by Russian forces,  an elite squadron of Ukrainian soldiers aided by American intelligence agents is assembled to retrieve him.",6.4,/4FMDkmMBIxk1YM8Qo4GThmjX7MJ.jpg,War|Action|Drama,Liubomyr Levytskyi,Serhiy Strelnykov|Denis Kapustin|Alexandra Soroka|Valeriy Velichko|Oleksandr Rudko,-0.0516
1431804,40 Dates and 40 Nights,"Burned out on dating and ready to quit, Leah accepts her grandma's outrageous challenge: 40 dates in 40 nights for a full year of rent. From awkward dinners to unexpected sparks, she discovers the biggest obstacle to love might just be herself.",6.0,/lWEhjO801M52CY5Gx6OAwZZ6m7o.jpg,Comedy|Romance,Andy Delaney,Bailee Madison|Joel Courtney|Annie Potts|Jai Rodriguez|Jack Schumacher,0.4939
